ArrayID	Name	BitVector
ABCC8	57.9	00200020220
ACAD10	216.27	22000020000
ACOD1	20.0	00000000200
ACOT1	20.0	11111111111
ACOT11	20.0	00000000200
ACOX1	274.17	02022000000
ACTB	18073.15	00000000222
ADAM19	20.0	00000000222
ADAM8	611.35	00202202000
ADAMTS1	139.64	00000000222
ADAMTS12	81.74	20200000000
ADAMTS14	20.0	00000000220
ADAMTS17	83.44	20200220020
ADAMTS2	20.0	11111111111
ADAMTS3	20.0	11111111111
ADAMTS4	69.82	20000000000
ADAMTS9	20.0	11111111111
ADAMTS9-AS2	20.0	11111111111
ADCYAP1R1	20.0	11111111111
ADGRE1	37.46	00000000002
ADGRE5	2186.56	00202202222
ADORA2A	42.57	00002222222
ADORA3	78.33	20000000000
AIF1	633.49	20222020000
AKAP13	1115.42	02200202020
ALCAM	199.24	00222000000
ALOX15	35.76	00000020020
ALOX5	349.1	22200000000
ANGPT1	73.23	20020000000
ANGPT2	20.0	11111111111
ANOS1	20.0	11111111111
ANXA1	6622.68	20200200000
ANXA4	470.01	22202000020
AOAH	3921.84	20000000000
APOE	103.88	11111111111
AREG	20.0	00202202000
ARF6	2467.54	00002200222
ARG1	20.0	11111111111
ARHGEF28	47.68	02000000000
ARHGEF6	1106.9	22022020000
ATF3	192.43	00220000000
B4GALT4	154.97	20022202202
BATF	124.31	00000000222
BATF3	20.0	00020000222
BCL10	604.54	02002202000
BCL2	127.72	00000000020
BCL6	262.25	00222222000
BID	638.6	00222002222
BIRC2	807.19	02202202000
BIRC3	1214.19	00002002000
BIRC5	49.38	00220000000
BMP8A	59.6	02200000000
BTG2	498.96	00002000222
BTK	64.71	02202200000
BTLA	64.71	20000020000
C1QA	20.0	11111111111
C1QB	57.9	20000020220
C1QC	20.0	00000000020
C3	66.41	00000000222
C3AR1	272.47	22002020000
C4A	35.76	02200222002
C5	20.0	11111111111
C5AR1	153.26	22000000000
CALR	4875.48	00000000222
CAMP	20.0	11111111111
CASP10	538.12	00220220220
CASP5	20.0	11111111111
CASP7	154.97	00002000202
CAV1	20.0	11111111111
CBR1	189.02	00000000220
CCL1	20.0	00000002222
CCL11	51.09	00200222220
CCL13	34.06	00002000000
CCL17	20.0	00000000220
CCL18	20.0	00000000222
CCL19	20.0	00000000222
CCL2	3589.77	22002000000
CCL20	35.76	00200200222
CCL22	347.4	00000000202
CCL24	207.76	00000002202
CCL28	252.03	22000222020
CCL3	623.27	00000000222
