AffyID	name	thr	mean	mean-thr	perc	min	max	sd	thrNum	hi	int	lo
CLEC1B	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
IL18	107.28	68.60	61.59	-7.00	-0.25	36.72	92.12	16.90	8	3	0	8
CSF1	93.66	218.89	207.16	-11.73	0.00	42.29	474.40	143.05	6	5	0	6
CD86	105.58	102.72	84.04	-18.68	-0.33	44.28	144.74	26.73	9	2	0	9
PGLYRP1	37.46	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
HDAC3	357.61	327.85	344.18	16.33	0.12	276.78	382.13	34.94	3	8	0	3
TUBB	771.43	1510.02	1466.00	-44.03	0.00	734.97	2538.96	554.79	6	5	0	6
CYR61	59.6	26.42	23.98	-2.44	-0.12	20.00	36.68	5.36	8	3	0	8
PIM2	442.76	1790.37	1127.20	-663.17	-0.50	294.18	2600.91	579.11	10	1	0	10
ADAM19	20.0	180.91	119.29	-61.62	0.00	20.00	342.14	123.01	8	3	0	8
PSMB9	1920.9	2843.44	2458.45	-384.99	-0.12	1000.00	4371.68	841.94	8	3	0	8
KLF10	364.43	1389.84	1089.64	-300.19	-0.38	201.30	2338.78	677.90	8	3	0	8
RAPGEF4	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
MAPK12	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
SEMA5A	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
LIPA	3887.78	991.83	759.82	-232.01	0.00	393.02	1581.97	461.32	8	3	0	8
TRAF6	560.26	604.10	581.66	-22.44	0.00	477.90	758.88	87.04	7	4	0	7
CD244	136.23	198.45	194.09	-4.36	0.00	127.82	290.00	54.47	6	5	0	6
MOK	47.68	28.90	29.63	0.73	0.00	20.00	46.40	9.11	5	6	0	5
CD1E	35.76	47.59	27.90	-19.69	-0.20	20.00	71.65	14.75	10	1	0	10
COL4A2	45.98	46.93	26.71	-20.22	-0.10	20.00	71.65	14.53	10	1	0	10
CCNB2	20.0	171.96	93.26	-78.70	-0.22	20.00	383.94	107.98	9	2	0	9
CNOT4	488.74	550.95	544.80	-6.16	0.00	428.45	636.27	73.73	6	5	0	6
JAML	2115.03	2782.02	1834.29	-947.73	0.00	112.85	5993.92	1946.11	8	3	0	8
SELPLG	132.83	161.83	113.53	-48.30	-0.40	63.35	220.87	40.51	10	1	0	10
CCL1	20.0	1210.51	917.69	-292.82	0.00	20.00	2532.78	1050.14	7	4	0	7
C4A	35.76	25.69	26.15	0.45	0.00	20.00	36.25	5.83	5	6	0	5
CX3CL1	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
ZNF148	694.79	677.09	670.73	-6.36	0.00	577.04	825.68	79.65	6	5	0	6
CXCL8	3743.03	20172.47	14052.49	-6119.99	0.00	1000.00	34740.59	12194.17	8	3	0	8
GEM	49.38	113.64	94.30	-19.34	-0.25	35.71	188.21	43.76	8	3	0	8
CETP	51.09	31.69	27.43	-4.26	-0.25	20.00	46.40	9.06	8	3	0	8
RAF1	779.94	887.22	877.71	-9.50	0.00	710.43	1087.48	116.64	6	5	0	6
PTGDR	325.26	136.11	140.91	4.80	0.00	35.94	293.43	66.04	5	6	0	5
TREM2	148.15	71.70	32.67	-39.04	-0.20	20.00	119.42	28.30	10	1	0	10
CNN2	1304.44	1323.67	1258.88	-64.80	-0.14	871.27	1677.09	258.44	7	4	0	7
IL6	20.0	541.64	311.79	-229.85	0.00	20.00	1428.35	472.82	8	3	0	8
VEGFA	66.41	568.40	601.62	33.22	0.00	43.23	1730.19	463.74	5	6	0	5
VRK2	229.89	252.89	239.19	-13.70	0.00	166.93	351.49	53.72	7	4	0	7
MAP2K1	693.09	973.20	987.11	13.91	0.00	702.86	1316.54	181.99	5	6	0	5
MMP1	37.46	55.49	47.55	-7.95	0.00	20.00	124.35	32.00	7	4	0	7
TTK	20.0	159.24	99.00	-60.24	-0.22	20.00	255.17	82.34	9	2	0	9
CD69	795.27	4227.31	2316.09	-1911.22	-0.30	461.47	6563.24	1607.98	10	1	0	10
CXCR2	166.89	183.61	79.80	-103.81	-0.10	20.00	310.48	75.97	10	1	0	10
NDUFA7	407.0	437.70	408.82	-28.88	-0.12	320.04	582.03	69.14	8	3	0	8
FGF7	44.28	56.91	33.68	-23.23	-0.30	20.00	85.30	18.54	10	1	0	10
EGR3	59.6	504.48	177.61	-326.86	-0.20	37.59	903.98	237.19	10	1	0	10
ABCC8	57.9	29.31	27.03	-2.28	0.00	20.00	43.50	8.86	7	4	0	7
PTAFR	146.45	88.59	72.35	-16.24	-0.25	28.90	171.40	39.82	8	3	0	8
MTMR14	449.57	364.10	345.50	-18.60	0.00	248.18	458.11	70.99	7	4	0	7
CXCL10	287.79	1355.91	468.73	-887.19	-0.20	32.11	2440.25	675.30	10	1	0	10
CTGF	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
HGF	39.17	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
MYOD1	63.01	31.38	27.07	-4.31	0.00	20.00	44.95	8.89	8	3	0	8
CXCR4	9723.71	10470.42	9990.45	-479.96	0.00	1000.00	18785.82	6063.92	6	5	0	6
SIRPA	492.15	213.05	171.37	-41.69	-0.12	87.92	317.41	86.20	8	3	0	8
CDC20	20.0	88.15	61.34	-26.81	-0.12	20.00	194.13	57.51	8	3	0	8
CD209	56.2	24.62	23.36	-1.26	0.00	20.00	34.66	4.87	7	4	0	7
CCR8	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
FBXL7	39.17	26.38	22.60	-3.78	-0.11	20.00	33.35	4.74	9	2	0	9
CTSS	5990.89	3158.01	2880.19	-277.81	-0.14	1000.00	5288.48	1162.16	7	4	0	7
IFIT1	71.52	267.51	132.87	-134.65	-0.11	23.49	511.11	167.46	9	2	0	9
CPA3	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
TNF	235.0	1627.16	1344.09	-283.07	0.00	278.20	3767.50	1083.47	7	4	0	7
IL4I1	166.89	250.98	210.69	-40.29	0.00	68.61	382.80	88.50	8	3	0	8
ZNF143	318.45	307.81	317.87	10.06	0.00	255.17	361.78	38.25	4	7	0	4
TLR2	243.52	239.02	199.13	-39.89	-0.12	74.25	394.36	89.96	8	3	0	8
CCR3	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
FPR3	573.89	238.12	128.93	-109.19	-0.11	20.00	453.79	142.38	9	2	0	9
INSR	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
ERCC_00154.1	21.0	19.02	18.36	-0.65	0.00	4.00	31.00	8.32	6	5	0	6
ERCC_00098.1	29.0	25.38	26.36	0.99	0.14	20.00	32.00	3.94	4	7	0	4
NR2F6	81.74	66.46	67.52	1.06	0.00	44.56	87.67	13.75	5	6	0	5
MERTK	240.11	98.22	49.19	-49.03	0.00	20.00	220.87	62.60	9	2	0	9
CCL28	252.03	256.83	264.01	7.19	0.00	168.04	386.40	85.25	5	6	0	5
USP18	47.68	102.82	59.62	-43.20	-0.22	20.00	185.44	54.59	9	2	0	9
CDH1	20.0	22.59	20.54	-2.05	-0.10	20.00	25.10	1.45	10	1	0	10
CEBPB	768.02	928.15	764.73	-163.42	-0.12	411.00	1359.23	341.81	8	3	0	8
SEMA4B	64.71	42.55	45.30	2.75	0.00	20.00	65.24	12.21	4	7	0	4
ACOD1	20.0	206.49	78.02	-128.46	-0.30	20.00	363.50	96.45	10	1	0	10
IL10	20.0	50.91	32.02	-18.89	0.00	20.00	103.99	25.07	9	2	0	9
AMMECR1L	253.74	273.81	276.88	3.07	0.00	233.08	333.87	36.71	5	6	0	5
IL3RA	71.52	107.82	103.23	-4.59	0.00	20.00	214.96	57.90	6	5	0	6
KLRK1	6775.94	5886.56	5448.03	-438.54	-0.29	1000.00	8877.97	1903.65	7	4	0	7
CSF1R	45.98	29.27	21.68	-7.58	0.00	20.00	38.53	5.33	10	1	0	10
CD80	20.0	215.42	162.49	-52.93	-0.12	20.00	351.51	114.33	8	3	0	8
CCL4	2881.35	19715.77	13226.18	-6489.59	-0.44	1000.00	32350.46	9190.87	9	2	0	9
PBX3	105.58	83.34	68.62	-14.73	-0.33	37.38	122.83	22.68	9	2	0	9
ABCF1	614.76	758.14	772.23	14.09	0.00	505.64	1035.11	175.19	5	6	0	5
ARG1	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
SYK	459.79	282.52	289.73	7.21	0.00	130.21	511.79	101.86	5	6	0	5
CCR6	51.09	103.32	75.64	-27.68	-0.25	20.00	178.06	58.36	8	3	0	8
ALOX5	349.1	118.21	89.96	-28.25	0.00	25.88	211.54	59.36	8	3	0	8
RUNX2	35.76	34.87	23.15	-11.72	-0.10	20.00	49.20	8.35	10	1	0	10
VTCN1	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
TLR7	66.41	28.80	24.10	-4.70	-0.22	20.00	37.70	6.14	9	2	0	9
IL6R	127.72	64.71	60.20	-4.52	-0.14	26.84	98.95	19.42	7	4	0	7
STAT5B	779.94	774.40	907.21	132.81	0.25	439.15	1201.93	288.70	3	8	0	3
GRN	853.17	380.40	298.19	-82.21	0.00	149.85	696.03	174.28	8	3	0	8
TNFRSF4	20.0	36.43	28.88	-7.55	-0.22	20.00	53.79	10.48	9	2	0	9
MYD88	524.5	534.46	524.06	-10.41	0.00	315.76	786.36	133.44	6	5	0	6
MARCO	39.17	23.42	20.62	-2.80	0.00	20.00	26.84	1.97	10	1	0	10
GNAI3	398.48	595.17	551.59	-43.58	-0.12	389.16	731.01	98.31	8	3	0	8
IKBKE	287.79	147.49	155.08	7.59	0.29	101.35	196.51	31.70	4	7	0	4
CCR5	306.53	698.51	411.37	-287.14	-0.50	102.75	1049.45	250.95	10	1	0	10
ADGRE1	37.46	22.22	20.40	-1.82	0.00	20.00	24.44	1.28	10	1	0	10
RGS1	202.65	1046.53	653.10	-393.44	-0.50	136.48	1527.40	368.78	10	1	0	10
STAB1	172.0	64.74	39.80	-24.94	0.00	20.00	109.18	30.69	9	2	0	9
LAT2	759.5	840.31	912.53	72.22	0.14	374.84	1317.19	300.78	4	7	0	4
AKAP13	1115.42	1082.59	1061.29	-21.30	0.00	683.49	1445.50	260.12	6	5	0	6
BCL2	127.72	952.10	516.48	-435.62	-0.20	121.24	1484.53	355.01	10	1	0	10
LAT	606.24	487.73	463.53	-24.20	0.00	331.00	698.32	99.10	7	4	0	7
IL22	20.0	258.93	117.72	-141.21	-0.11	20.00	600.03	183.80	9	2	0	9
ARHGEF28	47.68	60.46	38.41	-22.05	-0.20	20.00	87.41	17.59	10	1	0	10
AOAH	3921.84	4091.18	2628.62	-1462.55	-0.30	1000.00	5878.74	1215.15	10	1	0	10
HIF1A	2145.69	4069.99	3740.92	-329.07	0.00	1000.00	6923.02	1404.51	7	4	0	7
CCR2	127.72	104.93	88.92	-16.01	0.00	20.00	206.66	62.50	7	4	0	7
GATA3	618.16	850.62	741.76	-108.86	-0.25	376.42	1162.35	242.42	8	3	0	8
FLT3	68.12	49.37	50.78	1.42	0.00	20.00	82.42	18.67	5	6	0	5
TNFRSF12A	39.17	37.62	33.37	-4.25	-0.12	20.00	58.22	9.93	8	3	0	8
GATA2	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
ALOX15	35.76	25.50	22.25	-3.25	-0.11	20.00	33.47	4.25	9	2	0	9
AGK	534.72	849.92	767.59	-82.33	-0.12	406.02	1079.43	202.39	8	3	0	8
RAD51	20.0	57.03	43.15	-13.87	0.00	20.00	104.61	29.36	8	3	0	8
ACOT11	20.0	20.61	20.11	-0.50	0.00	20.00	21.22	0.35	10	1	0	10
CD70	73.23	109.98	113.86	3.87	0.00	23.50	188.76	49.67	5	6	0	5
CCR1	626.68	527.43	386.99	-140.43	-0.12	88.84	1031.45	309.87	8	3	0	8
CLEC7A	321.85	94.97	72.80	-22.16	0.00	20.00	191.07	49.24	8	3	0	8
CEBPD	2799.61	3246.14	2010.62	-1235.52	-0.40	735.68	4756.22	1036.89	10	1	0	10
MPO	20.0	48.06	25.97	-22.09	-0.10	20.00	75.06	15.72	10	1	0	10
LRP6	35.76	27.11	23.03	-4.09	-0.11	20.00	34.80	5.26	9	2	0	9
ADAMTS4	69.82	57.83	32.56	-25.27	-0.30	20.00	88.71	18.75	10	1	0	10
PTGDR2	20.0	27.69	22.13	-5.57	-0.20	20.00	34.50	4.19	10	1	0	10
IFNGR1	1975.39	1663.38	1771.60	108.21	0.14	1000.00	2846.08	478.84	4	7	0	4
MYC	178.81	650.78	398.94	-251.84	-0.30	115.60	958.58	201.59	10	1	0	10
IL2	20.0	25.21	20.95	-4.26	0.00	20.00	30.42	3.00	10	1	0	10
MAPK11	47.68	50.70	52.69	2.00	0.00	20.00	109.14	26.45	5	6	0	5
IER3	357.61	350.40	243.48	-106.92	-0.30	151.61	481.08	86.10	10	1	0	10
ERCC_00144.1	13.0	13.28	13.45	0.17	0.00	9.00	17.00	2.23	5	6	0	5
NMB	95.36	88.61	86.00	-2.62	0.00	38.53	152.98	33.71	6	5	0	6
CNKSR1	64.71	65.35	32.29	-33.07	-0.20	20.00	105.77	24.05	10	1	0	10
ARF6	2467.54	3828.20	3760.94	-67.25	0.00	1000.00	5114.57	814.48	6	5	0	6
CREM	389.97	1038.14	993.72	-44.42	0.00	112.78	1839.86	548.95	6	5	0	6
ROS1	20.0	23.42	20.62	-2.80	0.00	20.00	26.84	1.97	10	1	0	10
CTLA4	52.79	49.91	39.74	-10.17	-0.22	20.00	76.57	15.16	9	2	0	9
STAT1	5399.98	7135.24	5131.84	-2003.40	0.00	1000.00	11970.72	3962.11	8	3	0	8
PDCD1LG2	20.0	30.11	24.24	-5.86	-0.11	20.00	41.83	7.54	9	2	0	9
ADAMTS3	20.0	20.00	20.00	0.00	0.00	20.00	20.00	0.00	0	0	11	0
TNFRSF9	76.63	1277.57	854.51	-423.06	-0.33	20.00	2365.34	639.63	9	2	0	9
PRRX1	45.98	50.09	26.87	-23.22	0.00	20.00	78.47	16.41	10	1	0	10
LRP5	42.57	26.90	22.86	-4.04	-0.11	20.00	37.57	5.35	9	2	0	9
PSMB8	1839.16	2407.63	2142.95	-264.68	0.00	1000.00	3305.63	562.66	8	3	0	8
CLC	45.98	55.58	34.05	-21.53	-0.30	20.00	81.89	16.19	10	1	0	10
SEMA4A	71.52	65.19	62.95	-2.25	0.00	20.00	120.19	29.59	6	5	0	6
PTX3	45.98	25.86	22.13	-3.73	0.00	20.00	33.35	4.57	9	2	0	9
IL4R	272.47	422.95	471.55	48.60	0.14	160.36	829.08	194.41	4	7	0	4
BTK	64.71	28.45	26.72	-1.73	0.00	20.00	43.23	7.20	7	4	0	7
FAS	289.5	385.32	474.29	88.98	0.33	218.05	625.09	124.99	2	9	0	2
TNFSF9	98.77	251.33	219.40	-31.93	-0.14	45.11	424.94	124.94	7	4	0	7
JUN	1561.58	782.08	868.40	86.32	0.00	252.48	1580.34	378.76	4	7	0	4
NLRP3	71.52	60.40	62.21	1.81	0.00	20.00	102.94	24.65	5	6	0	5
MET	20.0	29.36	27.07	-2.29	0.00	20.00	47.97	9.00	7	4	0	7
TNFRSF14	137.94	92.96	91.73	-1.23	0.00	71.22	126.14	16.01	6	5	0	6
CD1A	47.68	41.84	37.83	-4.01	0.00	20.00	71.65	15.69	7	4	0	7
LTB4R2	292.9	243.25	228.85	-14.40	-0.14	134.70	325.19	61.41	7	4	0	7
