ProbeID	Ptr	Name	Description
ABCC8	139	57.9	
ACAD10	209	216.27	
ACOD1	298	20.0	
ACOT1	373	20.0	
ACOT11	439	20.0	
ACOX1	507	274.17	
ACTB	596	18073.15	
ADAM19	707	20.0	
ADAM8	787	611.35	
ADAMTS1	877	139.64	
ADAMTS12	964	81.74	
ADAMTS14	1040	20.0	
ADAMTS17	1111	83.44	
ADAMTS2	1191	20.0	
ADAMTS3	1259	20.0	
ADAMTS4	1327	69.82	
ADAMTS9	1403	20.0	
ADAMTS9-AS2	1471	20.0	
ADCYAP1R1	1543	20.0	
ADGRE1	1613	37.46	
ADGRE5	1682	2186.56	
ADORA2A	1782	42.57	
ADORA3	1859	78.33	
AIF1	1932	633.49	
AKAP13	2015	1115.42	
ALCAM	2110	199.24	
ALOX15	2197	35.76	
ALOX5	2267	349.1	
ANGPT1	2347	73.23	
ANGPT2	2423	20.0	
ANOS1	2490	20.0	
ANXA1	2556	6622.68	
ANXA4	2657	470.01	
AOAH	2745	3921.84	
APOE	2846	103.88	
AREG	2914	20.0	
ARF6	2983	2467.54	
ARG1	3082	20.0	
ARHGEF28	3147	47.68	
ARHGEF6	3227	1106.9	
ATF3	3323	192.43	
B4GALT4	3412	154.97	
BATF	3503	124.31	
BATF3	3590	20.0	
BCL10	3671	604.54	
BCL2	3760	127.72	
BCL6	3848	262.25	
BID	3936	638.6	
BIRC2	4021	807.19	
BIRC3	4116	1214.19	
BIRC5	4217	49.38	
BMP8A	4299	59.6	
BTG2	4370	498.96	
BTK	4462	64.71	
BTLA	4534	64.71	
C1QA	4611	20.0	
C1QB	4676	57.9	
C1QC	4747	20.0	
C3	4815	66.41	
C3AR1	4889	272.47	
C4A	4977	35.76	
C5	5047	20.0	
C5AR1	5111	153.26	
CALR	5187	4875.48	
CAMP	5290	20.0	
CASP10	5355	538.12	
CASP5	5445	20.0	
CASP7	5511	154.97	
CAV1	5600	20.0	
CBR1	5665	189.02	
CCL1	5750	20.0	
CCL11	5832	51.09	
CCL13	5903	34.06	
CCL17	5972	20.0	
CCL18	6041	20.0	
CCL19	6114	20.0	
CCL2	6188	3589.77	
CCL20	6282	35.76	
CCL22	6364	347.4	
CCL24	6453	207.76	
CCL28	6536	252.03	
CCL3	6625	623.27	
CCL4	6723	2881.35	
CCL5	6830	12024.36	
CCL7	6937	80.04	
CCL8	7010	61.31	
CCNB2	7088	20.0	
CCR1	7165	626.68	
CCR2	7253	127.72	
CCR3	7334	20.0	
CCR5	7399	306.53	
CCR6	7489	51.09	
CCR7	7566	298.01	
CCR8	7653	20.0	
CCRL2	7718	90.26	
CD151	7793	40.87	
CD180	7868	226.49	
CD1A	7945	47.68	
CD1B	8019	20.0	
CD1C	8090	40.87	
CD1E	8161	35.76	
CD209	8232	56.2	
CD244	8302	136.23	
CD247	8389	1759.12	
CD27	8490	267.36	
CD274	8572	120.91	
CD276	8661	66.41	
CD28	8736	160.08	
CD34	8819	20.0	
CD38	8884	355.91	
CD40	8974	107.28	
CD40LG	9053	68.12	
CD44	9138	5161.57	
CD69	9239	795.27	
CD70	9337	73.23	
CD74	9419	4396.95	
CD80	9516	20.0	
CD83	9598	459.79	
CD84	9693	424.03	
CD86	9779	105.58	
CD99	9858	894.04	
CDC20	9949	20.0	
CDH1	10025	20.0	
CDH11	10091	20.0	
CDH13	10157	20.0	
CDH2	10225	20.0	
CDH4	10293	20.0	
CDH5	10360	20.0	
CDKN1A	10425	98.77	
CEACAM1	10513	20.0	
CEACAM8	10583	20.0	
CEBPA	10651	313.34	
CEBPB	10733	768.02	
CEBPD	10824	2799.61	
CEBPG	10924	602.84	
CETP	11015	51.09	
CLC	11085	45.98	
CLDN1	11158	20.0	
CLEC1B	11224	20.0	
CLEC5A	11291	873.6	
CLEC7A	11376	321.85	
CLEC9A	11458	20.0	
CLIC4	11527	180.51	
CMA1	11615	34.06	
CNKSR1	11685	64.71	
CNN2	11761	1304.44	
COL10A1	11860	20.0	
COL11A1	11929	61.31	
COL12A1	12005	20.0	
COL14A1	12074	61.31	
COL15A1	12145	20.0	
COL17A1	12217	20.0	
COL1A2	12285	20.0	
COL3A1	12352	85.15	
COL4A1	12428	39.17	
COL4A2	12500	45.98	
CPA3	12573	20.0	
CRABP2	12638	83.44	
CREM	12717	389.97	
CRIP1	12811	1948.15	
CSF1	12908	93.66	
CSF1R	12991	45.98	
CSF2	13059	20.0	
CSF2RA	13146	497.25	
CSF3	13237	20.0	
CSF3R	13302	63.01	
CTGF	13371	20.0	
CTLA4	13436	52.79	
CTNNB1	13509	2338.12	
CTSG	13611	20.0	
CTSL	13676	842.95	
CTSS	13764	5990.89	
CTTNBP2	13865	91.96	
CX3CL1	13941	20.0	
CX3CR1	14008	2171.23	
CXCL1	14106	86.85	
CXCL10	14190	287.79	
CXCL11	14275	20.0	
CXCL13	14349	20.0	
CXCL16	14416	202.65	
CXCL2	14505	245.22	
CXCL3	14593	212.87	
CXCL5	14681	56.2	
CXCL6	14761	20.0	
CXCL8	14827	3743.03	
CXCL9	14933	91.96	
CXCR2	15013	166.89	
CXCR3	15092	676.06	
CXCR4	15182	9723.71	
CYBB	15288	2053.73	
CYP1B1	15379	880.41	
CYP3A4	15469	20.0	
CYR61	15536	59.6	
CYSLTR1	15606	269.06	
CYTIP	15695	3720.89	
DAGLB	15798	287.79	
DAXX	15887	630.08	
DDR2	15975	20.0	
DES	16045	20.0	
DNAJB6	16109	2762.15	
DPP4	16212	37.46	
DUSP1	16294	2544.17	
DUSP2	16390	466.6	
DUSP6	16480	573.89	
EDN	16568	52.79	
EEF1A1	16641	42287.05	
EGF	16755	20.0	
EGR2	16819	137.94	
EGR3	16908	59.6	
EIF4EBP2	16987	677.76	
ELANE	17077	54.49	
ELL2	17150	252.03	
ELOVL6	17239	185.62	
EMP1	17329	407.0	
EN1	17414	42.57	
ENC1	17481	343.99	
ENPEP	17566	20.0	
ENPP2	17633	20.0	
EPHB6	17700	20.0	
EPX	17770	20.0	
ERCC1	17834	160.08	
ERG	17923	20.0	
ETS1	17987	2343.23	
F11R	18086	485.33	
FABP4	18172	20.0	
FADD	18240	20.0	
FAF1	18311	592.62	
FAS	18396	289.5	
FASN	18483	98.77	
FBP1	18567	766.32	
FBXL7	18651	39.17	
FCAR	18721	44.28	
FCER1A	18794	122.61	
FCER2	18865	37.46	
FCGR1A	18938	105.58	
FCGR2A	19012	325.26	
FCGR2B	19100	473.41	
FCGR3A	19187	3891.19	
FCN1	19290	853.17	
FGF10	19367	20.0	
FGF18	19433	20.0	
FGF2	19499	20.0	
FGF7	19564	44.28	
FGFR1	19635	103.88	
FLNB	19718	177.1	
FLRT2	19802	20.0	
FLT1	19869	59.6	
FLT3	19949	68.12	
FN1	20024	504.07	
FOSB	20093	112.39	
FOSL1	20174	20.0	
FPR1	20248	39.17	
FPR2	20314	20.0	
FPR3	20379	573.89	
FSCN1	20458	126.02	
FURIN	20544	296.31	
FUT4	20633	112.39	
FYN	20720	3402.45	
FZD4	20820	20.0	
FZD6	20886	35.76	
FZD9	20960	20.0	
GADD45B	21025	674.36	
GATA1	21124	20.0	
GATA2	21190	20.0	
GATA3	21256	618.16	
GATA6	21347	20.0	
GCH1	21414	400.19	
GEM	21505	49.38	
GLG1	21584	1546.26	
GNAI3	21684	398.48	
GPR183	21773	584.1	
GPR65	21866	328.66	
GRN	21956	853.17	
GSN	22044	512.58	
GTF2H2	22129	490.44	
GZMA	22221	4405.47	
HAVCR1	22325	97.07	
HAVCR2	22412	335.48	
HBEGF	22508	20.0	
HDAC5	22578	231.6	
HDAC6	22664	236.71	
HDC	22753	20.0	
HES1	22822	20.0	
HGF	22894	39.17	
HIF1A	22959	2145.69	
HIP1R	23060	228.19	
HIST1H1C	23146	8492.49	
HIST2H2AA3	23251	931.5	
HIVEP1	23350	315.04	
HLA-DMA	23440	633.49	
HLA-DQB1	23531	134.53	
HMGB1	23617	509.17	
HNF1B	23706	90.26	
HOXD4	23778	20.0	
HPGD	23844	34.06	
HPGDS	23910	20.0	
HRAS	23977	105.58	
HSPG2	24064	20.0	
ICAM1	24130	190.73	
ICOS	24219	112.39	
ICOSLG	24307	81.74	
ID1	24390	47.68	
ID2	24464	1004.73	
ID3	24563	61.31	
IDO1	24633	192.43	
IDO2	24724	20.0	
IER3	24789	357.61	
IFIT1	24878	71.52	
IFNA2	24958	20.0	
IFNG	25024	153.26	
IFNGR1	25121	1975.39	
IGF1	25222	20.0	
IGF2	25287	20.0	
IKBKE	25352	287.79	
IKZF1	25442	2283.62	
IL10	25542	20.0	
IL10RA	25610	2637.83	
IL12A	25711	63.01	
IL12B	25785	20.0	
IL15	25857	103.88	
IL15RA	25939	20.0	
IL17RA	26012	451.28	
IL18	26101	107.28	
IL18R1	26179	674.36	
IL1A	26272	35.76	
IL1B	26351	219.68	
IL1R1	26443	35.76	
IL1RL1	26518	20.0	
IL1RN	26590	68.12	
IL2	26664	20.0	
IL21R	26729	294.61	
IL22	26819	20.0	
IL23A	26890	45.98	
IL25	26969	20.0	
IL27	27034	66.41	
IL27RA	27104	214.57	
IL3	27193	56.2	
IL33	27268	86.85	
IL3RA	27344	71.52	
IL4	27425	45.98	
IL4I1	27496	166.89	
IL4R	27584	272.47	
IL5	27672	20.0	
IL5RA	27737	20.0	
IL6	27805	20.0	
IL6R	27880	127.72	
IL9	27957	20.0	
INSIG1	28021	1013.24	
INSR	28120	20.0	
IRF1	28185	1221.0	
IRF2	28279	706.71	
IRF4	28364	241.82	
IRF5	28451	221.38	
IRF8	28536	245.22	
ISG15	28625	257.14	
ITGA4	28716	643.71	
ITGA5	28805	1180.13	
ITGAL	28899	5864.88	
ITGAM	29000	672.66	
ITGAX	29088	1541.15	
ITGB1	29184	2898.38	
ITGB2	29284	2719.57	
ITGB7	29383	733.96	
JAG1	29474	52.79	
JAK3	29547	275.87	
JAML	29635	2115.03	
JUN	29731	1561.58	
KALRN	29821	20.0	
KCNAB1	29889	20.0	
KIAA0101	29956	34.06	
KIF20A	30036	20.0	
KIT	30105	134.53	
